               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 123,            0.021136,           0.0098341,           0.0087435,              0.8776,             0.59868,             0.67567,             0.45573,             0.02584,            0.017378,            0.013901,            0.003961,            0.003961,            0.003961
                 124,            0.019271,           0.0089802,           0.0085995,             0.87136,             0.59975,             0.67845,             0.46433,            0.025378,            0.017598,            0.013421,           0.0039115,           0.0039115,           0.0039115
                 125,            0.020587,           0.0093968,           0.0081845,             0.87953,              0.5862,             0.67513,             0.47021,              0.0256,            0.018195,            0.013601,            0.003862,            0.003862,            0.003862
                 126,            0.022059,            0.009619,           0.0082277,             0.85513,             0.59868,             0.67741,             0.46655,            0.026237,            0.018195,            0.014088,           0.0038125,           0.0038125,           0.0038125
                 127,            0.021053,           0.0097311,           0.0083142,             0.87431,             0.61015,             0.66327,             0.44902,            0.025587,            0.018112,            0.014246,            0.003763,            0.003763,            0.003763
                 128,            0.019362,           0.0091946,           0.0079663,             0.86909,             0.61893,             0.67396,              0.4562,            0.025868,            0.017951,            0.013931,           0.0037135,           0.0037135,           0.0037135
                 129,             0.02003,           0.0092708,           0.0086234,             0.85833,             0.63632,             0.67848,             0.45256,            0.026361,            0.017847,             0.01335,            0.003664,            0.003664,            0.003664
                 130,            0.020044,           0.0097618,           0.0083392,              0.8646,             0.61576,             0.68287,             0.47089,            0.025461,             0.01783,            0.013526,           0.0036145,           0.0036145,           0.0036145
                 131,            0.019529,           0.0094263,            0.007445,             0.87562,             0.59342,             0.67636,             0.45627,            0.025475,            0.018026,            0.013426,            0.003565,            0.003565,            0.003565
                 132,            0.018675,            0.009444,            0.008303,             0.83276,             0.61808,              0.6799,             0.46377,            0.025169,            0.017901,            0.013524,           0.0035155,           0.0035155,           0.0035155
                 133,            0.019787,           0.0094563,           0.0081117,             0.83198,             0.61043,             0.67746,             0.47044,            0.025429,            0.017942,            0.013478,            0.003466,            0.003466,            0.003466
                 134,            0.019765,           0.0093444,           0.0081795,             0.86159,             0.58721,             0.68567,              0.4763,            0.024871,            0.017811,            0.013493,           0.0034165,           0.0034165,           0.0034165
                 135,            0.020763,           0.0095779,           0.0074063,             0.81415,             0.62537,             0.68162,             0.46157,            0.025467,             0.01726,            0.014148,            0.003367,            0.003367,            0.003367
                 136,            0.019543,           0.0096504,           0.0075954,             0.83341,             0.61075,             0.66929,             0.45579,            0.025355,            0.017242,            0.014106,           0.0033175,           0.0033175,           0.0033175
                 137,            0.019524,           0.0091836,           0.0081423,             0.86915,             0.59274,             0.67024,              0.4743,            0.024899,            0.017286,            0.014045,            0.003268,            0.003268,            0.003268
                 138,            0.019475,           0.0092004,           0.0082065,             0.88708,             0.58723,             0.68158,               0.462,            0.025991,            0.017526,             0.01435,           0.0032185,           0.0032185,           0.0032185
                 139,             0.01807,           0.0086036,           0.0079885,             0.82163,             0.61441,             0.67385,             0.46949,            0.024972,            0.017507,            0.014202,            0.003169,            0.003169,            0.003169
                 140,            0.017864,           0.0087928,           0.0072852,             0.86383,             0.58609,             0.66742,             0.45557,             0.02507,             0.01799,            0.014232,           0.0031195,           0.0031195,           0.0031195
                 141,            0.018797,           0.0090792,           0.0081105,             0.86605,              0.5751,             0.65756,             0.45317,            0.025215,            0.018333,            0.015914,             0.00307,             0.00307,             0.00307
                 142,            0.019887,           0.0090115,           0.0078797,              0.8807,              0.6137,             0.67907,             0.47639,            0.025061,            0.018102,             0.01305,           0.0030205,           0.0030205,           0.0030205
                 143,            0.018958,           0.0089184,           0.0076573,             0.71066,             0.67512,             0.68134,             0.44417,            0.025988,            0.018252,            0.012983,            0.002971,            0.002971,            0.002971
                 144,            0.017828,           0.0089824,           0.0070453,             0.82021,             0.62432,             0.68038,             0.46729,            0.024579,            0.017879,            0.013208,           0.0029215,           0.0029215,           0.0029215
                 145,            0.018617,           0.0096842,           0.0071536,             0.86197,             0.60404,             0.68409,             0.47066,            0.024679,            0.018007,            0.013163,            0.002872,            0.002872,            0.002872
                 146,            0.018446,           0.0086848,            0.007566,             0.87466,             0.58885,             0.67136,             0.45188,            0.025435,            0.018516,             0.01373,           0.0028225,           0.0028225,           0.0028225
                 147,             0.01853,           0.0090471,           0.0069548,             0.84672,             0.61927,             0.67496,              0.4661,            0.025038,            0.017575,            0.014032,            0.002773,            0.002773,            0.002773
                 148,            0.017885,           0.0090949,           0.0068061,             0.87275,             0.59842,             0.67782,             0.44712,            0.025245,            0.017322,            0.013503,           0.0027235,           0.0027235,           0.0027235
                 149,            0.017146,            0.008611,            0.006917,             0.88867,             0.59789,             0.67154,              0.4543,            0.025341,            0.017969,            0.013238,            0.002674,            0.002674,            0.002674
                 150,            0.018526,           0.0088241,           0.0074566,             0.70104,             0.65319,             0.67612,              0.4677,            0.025092,            0.018186,            0.013042,           0.0026245,           0.0026245,           0.0026245
                 151,            0.018834,           0.0091308,           0.0067613,             0.68582,              0.6701,             0.67255,             0.45402,            0.025456,            0.018407,            0.013475,            0.002575,            0.002575,            0.002575
                 152,            0.016579,           0.0085644,           0.0071381,             0.68495,             0.66102,             0.67017,             0.46881,            0.024848,            0.018417,            0.013107,           0.0025255,           0.0025255,           0.0025255
                 153,            0.017104,           0.0083387,           0.0066379,             0.86585,             0.58399,             0.66652,             0.44574,            0.025667,            0.018701,            0.013078,            0.002476,            0.002476,            0.002476
                 154,              0.0184,           0.0086514,           0.0071937,               0.867,             0.58646,             0.66225,             0.45053,            0.025307,            0.018346,            0.013346,           0.0024265,           0.0024265,           0.0024265
                 155,            0.016822,           0.0086332,            0.006856,             0.85743,             0.58697,             0.65737,             0.44228,            0.025868,            0.018491,            0.013489,            0.002377,            0.002377,            0.002377
                 156,            0.016386,           0.0083168,           0.0068133,              0.8413,             0.61893,             0.67735,             0.46033,            0.025679,            0.018267,            0.013546,           0.0023275,           0.0023275,           0.0023275
                 157,            0.016439,           0.0083293,           0.0066058,             0.85785,              0.6054,             0.66699,             0.46491,            0.024968,            0.018488,            0.013387,            0.002278,            0.002278,            0.002278
                 158,            0.016848,           0.0081174,           0.0066206,             0.86527,             0.59971,             0.66857,             0.45865,            0.025513,            0.018691,            0.013234,           0.0022285,           0.0022285,           0.0022285
                 159,            0.016188,           0.0081084,           0.0065135,             0.88214,             0.59323,             0.67122,             0.47082,             0.02489,            0.018721,             0.01328,            0.002179,            0.002179,            0.002179
